franchisee_name,name_variants,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,state_count,restaurant_phone,sample_address,apollo_company,apollo_email,apollo_linkedin,apollo_title
"Target Stores, A Division Of Target Corporation (1)","Target Stores, A Division Of Target Corporation / Target Stores, A Division Of Target Corporation (1)",863,Pizza Hut,1,No,CA,AK | AL | AR | AZ | CA | CO | CT | DC | DE | FL | GA | HI | IA | ID | IL | IN | KS | KY | LA | MA | MD | ME | MI | MN | MO | MS | NC | ND | NE | NH | NJ | NM | NV | NY | OH | OK | OR | PA | RI | SC | SD | TN | TX | UT | VA | WA | WI | WV,48,907/269-2100,1200 N. Muldoon Road,,,,
"Fqsr, Llc (Dba Kbp Foods)",,803,KFC,1,No,TX,AL | AR | FL | GA | IA | IL | IN | KS | KY | LA | MD | ME | MI | MO | NC | NE | NH | NJ | NY | OH | OK | PA | SC | TN | TX | VA | WI | WV,28,913/428-3636,"1818 Ninth Avenue, North",,,,
"Ayvaz Pizza, Llc",,375,Pizza Hut,1,No,TX,CO | FL | GA | IA | MN | NC | NM | SC | TX | VA,10,970/259-2112,1316 Main Ave,,,,
"Maverik, Inc.",,342,Cinnabon,1,No,UTAH,ARIZONA | CALIFORNIA | COLORADO | IDAHO | MONTANA | NEBRASKA | NEVADA | NEW MEXICO | OREGON | UTAH | WASHINGTON | WYOMING,12,(928) 754-2600,2612 Desert Foothills Dr,,,,
Fourteen Foods Llc,,252,Dairy Queen,1,No,KY,AL | FL | IA | IN | KY | LA | MN | MS | NC | NE | SD | TN | VA | WI,14,9204575878,2263 Calumet Dr,,,,
