entity_name,bf_match_count,bf_first_result_name,bf_entity_number,bf_status,bf_entity_type,bf_formation_date,bf_jurisdiction,bf_agent_name,bf_agent_type,bf_agent_is_individual,bf_agent_address,bf_principal_address,bf_mailing_address,bf_statement_due_date,bf_inactive_date,bf_standing_sos,bf_standing_ftb,bf_standing_agent,bf_standing_vcfcf,bf_agent_address_matches_principal,bf_likely_owner_name,bf_operator_pattern,bf_multi_entity_operator,bf_query_used,bf_query_attempts,bf_name_similarity,bf_score,bf_alternates,bf_fetched_at,bf_error
Apple Norcal Llc,1,APPLE NORCAL LLC (200529310234),200529310234,Active,Limited Liability Company - Out of State,10/18/2005,DELAWARE,CSC - LAWYERS INCORPORATING SERVICE,1505 Corporation,False,,"225 BUSH STREET SUITE 1800, SAN FRANCISCO, CA 94104","6200 OAK TREE BLVD., SUITE 250, INDEPENDENCE,OH44131",10/31/2027,,Good,Good,Good,Good,,,service_agent,shared_principal_address:2,Apple Norcal Llc,,1.000,,,2026-04-24T11:37:08.218576+00:00,
"Socal Pizza Holdings, Llc",1,"SOCAL PIZZA HOLDINGS, LLC (201634210112)",201634210112,Active,Limited Liability Company - Out of State,11/30/2016,DELAWARE,CSC - LAWYERS INCORPORATING SERVICE,1505 Corporation,False,,"770 THE CITY DRIVE SOUTH, 8000, ORANGE, CA 92868","770 THE CITY DRIVE SOUTH, 8000, ORANGE,CA92868",11/30/2026,,Good,Good,Good,Good,,,service_agent,,"Socal Pizza Holdings, Llc",,1.000,,,2026-04-24T11:37:49.066802+00:00,
"Zna Foods, Inc.",1,"ZNA FOODS, INC. (4006996)",4006996,Active,Stock Corporation - Out of State - Stock,03/22/2017,NEVADA,NAREG AMIRIAN,Individual,True,"320 E. HARVARD ST, GLENDALE, CA  91205","320 E. HARVARD ST, GLENDALE, CA 91205","320 E. HARVARD ST, GLENDALE,CA91205",03/31/2027,,Good,Good,Good,Good,True,NAREG AMIRIAN,out_of_state_holdco,shared_principal_address:2; shared_agent:2,"Zna Foods, Inc.",,1.000,,,2026-04-24T11:38:01.306744+00:00,
"California Cajun Eats, Llc",1,"CALIFORNIA CAJUN EATS, LLC (202120410895)",202120410895,Active,Limited Liability Company - Out of State,07/21/2021,DELAWARE,COGENCY GLOBAL INC.,1505 Corporation,False,,"41760 IVY STREET SUITE 201, MURRIETA, CA 92562","41760 IVY STREET SUITE 201, MURRIETA,CA92562",07/31/2027,,Good,Good,Good,Good,,,service_agent,,"California Cajun Eats, Llc",,1.000,,,2026-04-24T11:38:09.867873+00:00,
"Milton Group, Inc.",3,"MILTON GROUP, INC. (3192479)",3192479,Active,Stock Corporation - CA - General,03/17/2009,CALIFORNIA,NAREG AMIRIAN,Individual,True,"320 E. HARVARD ST, GLENDALE, CA  91205","320 E. HARVARD ST, GLENDALE, CA 91205","320 E. HARVARD ST, GLENDALE,CA91205",03/31/2027,,Good,Good,Good,Good,True,NAREG AMIRIAN,owner_operator,shared_principal_address:2; shared_agent:2,"Milton Group, Inc.",,1.000,,,2026-04-24T11:38:24.671248+00:00,
"One Whirld, Inc.",1,"ONE WHIRLD, INC. (3617174)",3617174,Active,Stock Corporation - CA - General,11/07/2013,CALIFORNIA,CALIFORNIA REGISTERED AGENT INC,1505 Corporation,False,,"220 S LIVERMORE AVE, #2149, LIVERMORE, CA 94550","220 S LIVERMORE AVE, #2149, LIVERMORE,CA94550",11/30/2026,,Good,Good,Good,Good,,,service_agent,,"One Whirld, Inc.",,1.000,,,2026-04-24T11:38:34.495492+00:00,
"Apple Ab Enterprises, Inc.",1,"APPLE AB ENTERPRISES, INC. (2714914)",2714914,Active,Stock Corporation - CA - General,12/24/2004,CALIFORNIA,siyavoush soleimani,Individual,True,"7006 W SUNSET BLVD, HOLLYWOOD, CA  90028","7006 W SUNSET BLVD, HOLLYWOOD, CA 90028","7006 W SUNSET BLVD, HOLLYWOOD,CA90028",12/31/2026,,Good,Good,Good,Good,True,siyavoush soleimani,owner_operator,,"Apple Ab Enterprises, Inc.",,1.000,,,2026-04-24T11:38:42.147080+00:00,
"Valley Juice Alameda, Llc",1,"VALLEY JUICE ALAMEDA, LLC (201814910027)",201814910027,Suspended - FTB,Limited Liability Company - CA,05/18/2018,CALIFORNIA,Dwayne Pizza REDMON,Individual,True,"6800 KOLL CENTER PARKWAY #100, PEASANTON, CA  94566","6800 KOLL CENTER PARKWAY #100, PLEASANTON, CA 94566","6800 KOLL CENTER PARKWAY #100, PLEASANTON,CA94566",05/31/2026,05/01/2025,Good,Not Good,Good,Good,True,Dwayne Pizza REDMON,owner_operator,,"Valley Juice Alameda, Llc",,1.000,,,2026-04-24T11:39:00.709239+00:00,
Juicecrafters Inc.,1,JuiceCrafters Inc. (5556235),5556235,Active,Stock Corporation - CA - General,03/07/2023,CALIFORNIA,WALEED MANSOUR,Individual,True,"2323 WEST MANCHASTER BLVD, 2ND FLOOR SUITE E, INGLEWOOD, CA  90305","2323 WEST MANCHASTER BLVD, 2ND FLOOR SUITE E, INGLEWOOD, CA 90305","2323 WEST MANCHASTER BLVD, 2ND FLOOR SUITE E, INGLEWOOD,CA90305",03/31/2027,,Good,Good,Good,Good,True,WALEED MANSOUR,owner_operator,,Juicecrafters Inc.,,1.000,,,2026-04-24T11:39:10.997869+00:00,
"Socal South Oc, Llc",2,"SOCAL SOUTH OC, LLC (201534410119)",201534410119,Terminated,Limited Liability Company - CA,12/10/2015,CALIFORNIA,JEFF GEDDES,Individual,True,"1 CITY BLVD WEST STE 750, ORANGE, CA  92868","1 CITY BLVD WEST STE 750, ORANGE, CA 92868","1 CITY BLVD WEST STE 750, ORANGE,CA92868",,12/14/2015,Good,Good,Good,Good,True,JEFF GEDDES,owner_operator,,"Socal South Oc, Llc",,1.000,,,2026-04-24T11:39:19.655254+00:00,
