entity_name,bf_match_count,bf_first_result_name,bf_entity_number,bf_status,bf_entity_type,bf_formation_date,bf_jurisdiction,bf_agent_name,bf_agent_type,bf_agent_is_individual,bf_agent_address,bf_principal_address,bf_mailing_address,bf_statement_due_date,bf_inactive_date,bf_standing_sos,bf_standing_ftb,bf_standing_agent,bf_standing_vcfcf,bf_agent_address_matches_principal,bf_likely_owner_name,bf_operator_pattern,bf_multi_entity_operator,bf_query_used,bf_query_attempts,bf_name_similarity,bf_score,bf_alternates,bf_fetched_at,bf_error
Premium Loaves Colorado Llc,0,,,,,,,,,,,,,,,,,,,,,unknown,,Premium Loaves Colorado Llc,Premium Loaves Colorado Llc | Premium Loaves Colorado | premium loaves,,,,2026-04-27T07:31:28.782010+00:00,
Hut Dakotas Llc,0,,,,,,,,,,,,,,,,,,,,,unknown,,Hut Dakotas Llc,Hut Dakotas Llc | Hut Dakotas,,,,2026-04-27T07:32:38.671625+00:00,
Apple Colorado Llc,0,,,,,,,,,,,,,,,,,,,,,unknown,,Apple Colorado Llc,Apple Colorado Llc | Apple Colorado,,,,2026-04-27T07:33:25.271883+00:00,
"The Cinnamon Bums, Inc.",0,,,,,,,,,,,,,,,,,,,,,unknown,,"The Cinnamon Bums, Inc.","The Cinnamon Bums, Inc. | The Cinnamon Bums, Inc | The Cinnamon Bums | cinnamon bums",,,,2026-04-27T07:34:13.554989+00:00,
"Isha Investments, Inc.",4,"ISHA INVESTMENTS, INC. (2593949)",2593949,Active,Stock Corporation - CA - General,02/24/2006,CALIFORNIA,PINAL J. SITARAM,Individual,True,"26883 AUBRIETA ST., MURRIETA, CA  92562","40484 MURRIETA HOT SPRINGS RD., STE 104, MURRIETA, CA 92563","27890 CLINTON KEITH RD., D#490, MURRIETA,CA92562",02/28/2027,,Good,Good,Good,Good,False,PINAL J. SITARAM (no addr match),individual_agent_offsite,,"Isha Investments, Inc.","Isha Investments, Inc.",1.000,202.25,"[{""name"": ""ISHAR INVESTMENTS, INC. (2252943)"", ""num"": ""2252943"", ""status"": ""Active"", ""score"": 133.53}, {""name"": ""ISHA INVESTMENTS HEMET, INC. (3093184)"", ""num"": ""3093184"", ""status"": ""Suspended - FTB/SOS"", ""score"": 89.65}, {""name"": ""ISHAR II INVESTMENTS, INC. (3169911)"", ""num"": ""3169911"", ""status"": ""Terminated"", ""score"": -71.74}]",2026-04-27T07:35:47.256320+00:00,
Marble Usa Inc.,10,MARBLE USA INC (3357336),3357336,Active,Stock Corporation - CA - General,02/04/2011,CALIFORNIA,BRUCE M O'BRIEN,Individual,True,"401 WEST A STREET, SUITE 2600, SAN DIEGO, CA  92101","Canada, SUITE 206, 2920 CALGARY TRAIL, EDMONTON, ALBERTA T6J 7C2","Canada, SUITE 206, 2920 CALGARY TRAIL, EDMONTON,ALBERTAT6J 7C2",02/28/2027,,Good,Good,Good,Good,False,BRUCE M O'BRIEN (no addr match),individual_agent_offsite,,Marble Usa Inc.,Marble Usa Inc.,1.000,204.05,"[{""name"": ""USA MARBLE & GRANITE, INC. (3840717)"", ""num"": ""3840717"", ""status"": ""Active"", ""score"": 172.45}, {""name"": ""MARBLE & TILE USA, INC. (2158798)"", ""num"": ""2158798"", ""status"": ""Active"", ""score"": 166.31}, {""name"": ""NEO HI MARBLE & GRANITE USA INC. (2153505)"", ""num"": ""2153505"", ""status"": ""Suspended - FTB"", ""score"": 60.0}, {""name"": ""PHIL ARCH MARBLE, INC. (U.S.A.) (1826809)"", ""num"": ""1826809"", ""status"": ""Suspended - FTB"", ""score"": 42.44}, {""name"": ""MARBLE & MOSAIC U.S.A., INC. (1413694)"", ""num"": ""1413694"", ""status"": ""Suspended - FTB"", ""score"": 32.13}]",2026-04-27T07:35:56.532898+00:00,
"Cornerstone Network, Inc.",6,"CORNERSTONE RESOURCE NETWORK, INC. (3271943)",3271943,Active,Nonprofit Corporation - CA - Religious,12/21/2009,CALIFORNIA,"Joshua Martin, CPA",Individual,True,"21800 OXNARD ST, WOODLAND HILLS, CA  91367",N/A,"2710 W. BURBANK BLVD., BURBANK,CA91505",12/31/2025,,Good,Good,Good,Good,False,"Joshua Martin, CPA (no addr match)",individual_agent_offsite,,"Cornerstone Network, Inc.","Cornerstone Network, Inc.",0.667,170.31,"[{""name"": ""CORNERSTONE NETWORK, INC. (1489593)"", ""num"": ""1489593"", ""status"": ""Active"", ""score"": 166.66}, {""name"": ""CORNERSTONE LEGAL NETWORK, INC. (4702925)"", ""num"": ""4702925"", ""status"": ""Suspended - FTB"", ""score"": 94.39}, {""name"": ""CORNERSTONE MORTGAGE NETWORK, INC. (2634326)"", ""num"": ""2634326"", ""status"": ""Suspended - FTB"", ""score"": 88.7}, {""name"": ""CORNERSTONE EQUITY PARTNER NETWORK, INC. (3332847)"", ""num"": ""3332847"", ""status"": ""Suspended - FTB"", ""score"": 73.96}, {""name"": ""CORNERSTONE FINANCIAL NETWORK, INC. (2254544)"", ""num"": ""2254544"", ""status"": ""Terminated"", ""score"": -33.13}]",2026-04-27T07:36:06.022657+00:00,
"High Rollers, Inc.",6,"HIGH ROLLERS, INC. (3761801)",3761801,Active,Stock Corporation - CA - General,03/04/2015,CALIFORNIA,NASSER ALIABADI,Individual,True,"7011 KOLL CENTER PKWY, #150, PLEASANTON, CA  94566","7011 KOLL CENTER PKWY, #150, PLEASANTON, CA 94566","7011 KOLL CENTER PKWY, #150, PLEASANTON,CA94566",03/31/2027,,Good,Good,Good,Good,True,NASSER ALIABADI,owner_operator,shared_principal_address:2; shared_agent:2,"High Rollers, Inc.","High Rollers, Inc.",1.000,205.54,"[{""name"": ""HIGH ROLLERS TRANSPORT INC (4705699)"", ""num"": ""4705699"", ""status"": ""Active"", ""score"": 174.39}, {""name"": ""HIGH ROLLERS, INC. (928658)"", ""num"": ""928658"", ""status"": """", ""score"": 100.0}, {""name"": ""HIGH ROLLERS, INC. (2471719)"", ""num"": ""2471719"", ""status"": ""Terminated"", ""score"": 1.03}, {""name"": ""HIGH ROLLERS SMOKESHOP, INC. (3390990)"", ""num"": ""3390990"", ""status"": ""Terminated"", ""score"": -29.15}, {""name"": ""HIGH ROLLERS TRUCKING INC (3309081)"", ""num"": ""3309081"", ""status"": ""Terminated"", ""score"": -29.48}]",2026-04-27T07:36:15.149744+00:00,
Purezest Llc,0,,,,,,,,,,,,,,,,,,,,,unknown,,Purezest Llc,Purezest Llc | Purezest,,,,2026-04-27T07:36:24.092999+00:00,
"Rpm Juice, Inc.",2,"RPM JUICE, INC. (4225484)",4225484,Active,Stock Corporation - CA - General,01/07/2019,CALIFORNIA,reza moalej,Individual,True,"4335 VAN NUYS BLVD, 102, SHERMAN OAKS, CA  91403","4335 VAN NUYS BLVD, 102, SHERMAN OAKS, CA 91403","4335 VAN NUYS BLVD, 102, SHERMAN OAKS,CA91403",01/31/2027,,Good,Good,Good,Good,True,reza moalej,owner_operator,,"Rpm Juice, Inc.","Rpm Juice, Inc.",1.000,206.95,"[{""name"": ""RPM JUICE HAWAII, INC. (4230327)"", ""num"": ""4230327"", ""status"": ""Terminated"", ""score"": -26.38}]",2026-04-27T07:36:36.229301+00:00,
"Kazi Foods, Inc.",2,"KAZI FOODS, INC. (1486739)",1486739,Active,Stock Corporation - CA - General,08/30/1990,CALIFORNIA,PARACORP INCORPORATED,1505 Corporation,False,,"3671 SUNSWEPT DRIVE, STUDIO CITY, CA 91604","3671 SUNSWEPT DRIVE, STUDIO CITY,CA91604",08/31/2026,,Good,Good,Good,Good,,,service_agent,,"Kazi Foods, Inc.","Kazi Foods, Inc.",1.000,196.59,"[{""name"": ""KAZI FOODS OF LA, INC. (3092607)"", ""num"": ""3092607"", ""status"": ""Terminated"", ""score"": -77.0}]",2026-04-27T07:36:45.007196+00:00,
"Atlas West, Inc.",10,"ATLAS WEST, INC. (3592727)",3592727,Active,Stock Corporation - CA - General,08/07/2013,CALIFORNIA,"ZFATY BURNS, INC.",1505 Corporation,False,,"8419 E BASELINE RD. STE 105, MESA, AZ 85209","8419 E BASELINE RD. STE 105, MESA,AZ85209",08/31/2026,,Good,Good,Good,Good,,,service_agent,,"Atlas West, Inc.","Atlas West, Inc.",1.000,204.97,"[{""name"": ""ATLAS FRANCHISE WEST, INC. (3604875)"", ""num"": ""3604875"", ""status"": ""Active"", ""score"": 171.67}, {""name"": ""HEALTH ATLAST WEST LA, INC. (3657168)"", ""num"": ""3657168"", ""status"": ""Active"", ""score"": 125.19}, {""name"": ""ATLAS LIFT TRUCKS WEST, INC. (837084)"", ""num"": ""837084"", ""status"": """", ""score"": 50.0}, {""name"": ""WESTERN ATLAS TILE DISTRIBUTORS, INC. (1327859)"", ""num"": ""1327859"", ""status"": ""Suspended - FTB"", ""score"": 34.52}, {""name"": ""ATLAS ENGINEERING WEST INC. (4670673)"", ""num"": ""4670673"", ""status"": ""Terminated"", ""score"": -25.69}]",2026-04-27T07:36:54.597429+00:00,
