brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
KFC,"Fqsr, Llc (Dba Kbp Foods)",9551 NE 83rd Ter,Kansas City,MO,64158,913/428-3636
KFC,"Tasty Chick'N Midwest, Llc",415 Independence Drive,Kennett,MO,63857,310/943-4997
KFC,"Franchise Management Investors Us, Llc",2401 N. Baltimore Street,Kirksville,MO,63501,506/323-1878
KFC,"Mitra Midwest Operations, Llc",300 South Jefferson,Lebanon,MO,65536,214/440-4144
KFC,"Fqsr, Llc (Dba Kbp Foods)",300 Rice Road,Lees Summit,MO,64086,913/428-3636
KFC,"Tasty Chick'N Midwest, Llc",1000 Highway 25 North,Malden,MO,63863,310/943-4997
KFC,"Ampex Brands Of St. Louis, Inc.",101 S. Weidman Rd.,Manchester,MO,63021,469/917-3800
KFC,"Mitra Midwest Operations, Llc",202 E. Mitchell Street,Marshall,MO,65340,214/440-4144
KFC,"Mitra Midwest Operations, Llc",1251 Banning Street,Marshfield,MO,65706,214/440-4144
KFC,"Fqsr, Llc (Dba Kbp Foods)",1622 South Main,Maryville,MO,64468,913/428-3636
KFC,"Ampex Brands Of St. Louis 2, Inc.",302 W Jackson St,Mexico,MO,65265,469/917-3800
KFC,"Fqsr, Llc (Dba Kbp Foods)",533 E 24 Highway,Moberly,MO,65270,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",201 SE 4th Street,Oak Grove,MO,64075,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",8716 Veterans Memorial Parkway,O'Fallon,MO,63366,913/428-3636
KFC,"Mitra Midwest Operations, Llc",1693 West Jackson,Ozark,MO,65721,214/440-4144
KFC,"Ampex Brands Of St. Louis 2, Inc.",1922 West Osage St.,Pacific,MO,63069,469/917-3800
KFC,"Tasty Chick'N Midwest, Llc",1212 S. Perryville Blvd.,Perryville,MO,63775,310/943-4997
KFC,"Tasty Chick'N Midwest, Llc",1211 North Westwood Boulevard,Poplar Bluff,MO,63901,310/943-4997
KFC,"Fqsr, Llc (Dba Kbp Foods)",9924 Highway 350 East,Raytown,MO,64133,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",806 Slumber Lane,Richmond,MO,64085,913/428-3636
KFC,Bk Foods Llc,1001 Strobach Street,Rolla,MO,65401,417/543-2027
KFC,"Fqsr, Llc (Dba Kbp Foods)",1699 Jungerman Road,Saint Charles,MO,63304,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",5332 North Belt Highway,Saint Joseph,MO,64506,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",813 S. Belt Highway,Saint Joseph,MO,64507,913/428-3636
KFC,"Ampex Brands Of St. Louis, Inc.",10557 Page,Saint Louis,MO,63132,469/917-3800
KFC,"Ampex Brands Of St. Louis 3, Inc.",231 North Tucker Boulevard,Saint Louis,MO,63103,469/917-3800
KFC,"Ampex Brands Of St. Louis, Inc.",3517 South Grand,Saint Louis,MO,63118,469/917-3800
KFC,"Fqsr, Llc (Dba Kbp Foods)",4071 Union Road,Saint Louis,MO,63129,913/428-3636
KFC,"Ampex Brands Of St. Louis, Inc.",5020 Delmar,Saint Louis,MO,63108,469/917-3800
KFC,"Ampex Brands Of St. Louis 2, Inc.",7500 Big Bend Boulevard,Saint Louis,MO,63119,469/917-3800
KFC,"Fqsr, Llc (Dba Kbp Foods)",8933 Jennings Station Road,Saint Louis,MO,63136,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",4118 Mexico Road,Saint Peters,MO,63376,913/428-3636
KFC,Lorna Mundwiller,704 S. Main,Salem,MO,65560,573/647-0250
KFC,"Fqsr, Llc (Dba Kbp Foods)",1513 South Limit Avenue,Sedalia,MO,65301,913/428-3636
KFC,"Mitra Midwest Operations, Llc",1808 W. Battlefield Street,Springfield,MO,65807,214/440-4144
KFC,"Mitra Midwest Operations, Llc",215 East Sunshine Street,Springfield,MO,65807,214/440-4144
KFC,"Mitra Midwest Operations, Llc",240 West Bypass North,Springfield,MO,65802,214/440-4144
KFC,"Mitra Midwest Operations, Llc",726 W. Kearney Street,Springfield,MO,65803,214/440-4144
KFC,"Ampex Brands Of St. Louis 2, Inc.",336 E South Service Road,Sullivan,MO,63080,469/917-3800
KFC,"Mitra Midwest Operations, Llc",1731 S. Madison Street,Webb City,MO,64870,214/440-4144
KFC,"Fqsr, Llc (Dba Kbp Foods)",718 West Pearce Boulevard,Wentzville,MO,63385,913/428-3636
KFC,"Tasty Chick'N Midwest, Llc",1301 Southern Hills Center,West Plains,MO,65775,310/943-4997
KFC,"West Quality Food Service, Inc.",904 Highway 278 East,Amory,MS,38821,601/649-2522
KFC,"West Quality Food Service, Inc.","690 Highway 6, E.",Batesville,MS,38606,601/649-2522
KFC,"West Quality Food Service, Inc.",947 Cedar Lake Road,Biloxi,MS,39532,601/649-2522
KFC,"West Quality Food Service, Inc.",513 Highway 145,Booneville,MS,38829,601/649-2522
KFC,"Franchise Management Investors Us, Llc",1701 West Government,Brandon,MS,39042,506/323-1878
KFC,"West Quality Food Service, Inc.",764 Brookway Blvd,Brookhaven,MS,39601,601/649-2522
KFC,"Franchise Management Investors Us, Llc",100 Byram Parkway,Byram,MS,39272,506/323-1878
KFC,"Franchise Management Investors Us, Llc",1548 Peace Street,Canton,MS,39046,506/323-1878
KFC,"West Quality Food Service, Inc.","125 Highway 16, W.",Carthage,MS,39051,601/649-2522
KFC,"West Quality Food Service, Inc.",334 S. State Street,Clarksdale,MS,38614,601/649-2522
KFC,"Tasty Chick'N Southeast, Llc","205 S. Davis Avenue, U.S. Highway 61, S.",Cleveland,MS,38732,310/943-4997
KFC,"Franchise Management Investors Us, Llc",442 Highway 80,Clinton,MS,39056,506/323-1878
KFC,"West Quality Food Service, Inc.",787 U.S. Highway 98 Bypass,Columbia,MS,39429,601/649-2522
KFC,"Jack Marshall Foods, Inc.",208 Alabama Street,Columbus,MS,39702,205/553-8621
KFC,"Jack Marshall Foods, Inc.",2224 Highway 45 North,Columbus,MS,39705,205/553-8621
KFC,"Jack Marshall Foods, Inc.","1209 Highway 72, East",Corinth,MS,38834,205/553-8621
KFC,"West Quality Food Service, Inc.",631 Hill Street,Ellisville,MS,39437,601/649-2522
KFC,"West Quality Food Service, Inc.",1206 Highway 35 South,Forest,MS,39074,601/649-2522
KFC,"Tasty Chick'N Southeast, Llc",413 Interchange Drive,Fulton,MS,38843,310/943-4997
