brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Pizza Hut,Hut Birmingham Llc,7950 Highway 72 W,Madison,AL,35758,256/721-5640
Pizza Hut,Hut Birmingham Llc,11818 US Hwy 231/431 North,Meridianville,AL,35759,256/828-6068
Pizza Hut,Hut Birmingham Llc,4110 Highway 14,Millbrook,AL,36054,334/285-1441
Pizza Hut,Hut Mobile Llc,1866-A Government St,Mobile,AL,36606,251/471-3003
Pizza Hut,Hut Mobile Llc,1956 S University,Mobile,AL,36609,251/660-9766
Pizza Hut,Hut Mobile Llc,2502 Schillinger,Mobile,AL,36695,251/639-1117
Pizza Hut,Hut Mobile Llc,5821 Old Shell Rd Ste G,Mobile,AL,36608,251/380-0818
Pizza Hut,Hut Mobile Llc,7745-A Moffat Rd,Mobile,AL,36618,251/649-6655
Pizza Hut,Hut Mobile Llc,2060 S. Hwy. 21 Bypass,Monroeville,AL,36460,251/575-2088
Pizza Hut,Hut Birmingham Llc,750 Main St.,Montevallo,AL,35115,205/665-5656
Pizza Hut,Hut Birmingham Llc,2865 E South Blvd,Montgomery,AL,36116,334/288-6831
Pizza Hut,Hut Birmingham Llc,3992 Atlanta Highway,Montgomery,AL,36106,334/215-7121
Pizza Hut,Hut Birmingham Llc,6371 Atlanta Hwy,Montgomery,AL,36117,334/396-6357
Pizza Hut,Hut Birmingham Llc,7827 Vaughn Rd,Montgomery,AL,36116,334/270-1214
Pizza Hut,Hut Nashville Llc,11930 Hwy 157,Moulton,AL,35650,256/974-7373
Pizza Hut,Hut Nashville Llc,611 E. Avalon Ave,Muscle Shoals,AL,35661,256/386-0080
Pizza Hut,Hut Birmingham Llc,720 2nd Ave E,Oneonta,AL,35121,205/625-3310
Pizza Hut,Hut Tallahassee Llc,902 Florala Highway 331 South,Opp,AL,36467,334/493-4543
Pizza Hut,Hut Mobile Llc,25908-I Canal Road,Orange Beach,AL,36561,251/981-8900
Pizza Hut,Hut Birmingham Llc,6585 B Hwy 431S,Owens Cross Roads,AL,35763,256/533-9588
Pizza Hut,Hut Birmingham Llc,202 Hamric Dr E,Oxford,AL,36203,256/241-0850
Pizza Hut,"Southeastern Pizza Group, Llc",3618 US Highway 431,Phenix City,AL,36867,334/298-3115
Pizza Hut,Hut Birmingham Llc,711 E Main St,Prattville,AL,36067,334/358-1201
Pizza Hut,Hut Birmingham Llc,3 Independent Dr,Rainbow City,AL,35906,256/442-2300
Pizza Hut,Hut Birmingham Llc,200 Main St W Ste. 102,Rainsville,AL,35986,256/400-4300
Pizza Hut,"Arnold Family Of Restaurants, Llc",3019 Highway 431 Byp S,Roanoke,AL,36274,844/722-0224
Pizza Hut,Hut Mobile Llc,22722 Hwy. 59 S.,Robertsdale,AL,36567,251/947-4980
Pizza Hut,Hut Nashville Llc,16086 US Hwy 72,Rogersville,AL,35652,256/247-5199
Pizza Hut,Hut Nashville Llc,13450 Highway 43,Russellville,AL,35653,256/332-4583
Pizza Hut,Hut Mobile Llc,#12 Hwy. 43 South,Saraland,AL,36571,251/675-0880
Pizza Hut,Adt Tennessee Llc,3310 S. Broad Street,Scottsboro,AL,35769,256/259-6600
Pizza Hut,"Arnold Family Of Restaurants, Llc",1121 Highland Ave,Selma,AL,36703,334/605-4004
Pizza Hut,Hut Tallahassee Llc,426 W. Lawrence Harris Hwy.,Slocomb,AL,36375,334/886-7007
Pizza Hut,Hut Mobile Llc,"10179 Eastern Shore Blvd., Space 103",Spanish Fort,AL,36527,251/625-3066
Pizza Hut,Hut Birmingham Llc,"300 Springville Station Rd., Ste. 1500",Springville,AL,35146,205/467-7877
Pizza Hut,"Arnold Family Of Restaurants, Llc",670 W Fort Williams St,Sylacauga,AL,35150,256/861-2577
Pizza Hut,Hut Mobile Llc,"5827 Hwy. 90 West, Suite A",Theodore,AL,36582,251/653-0810
Pizza Hut,Hut Mobile Llc,33566 Hwy. 43 N.,Thomasville,AL,36784,334/636-9655
Pizza Hut,Hut Birmingham Llc,109 Hwy 231 North,Troy,AL,36081,334/566-2672
