entity_type,entity_name,name_variants,primary_state,all_states,brands_operated,total_units
company,Qsr East Llc,,FL,AL | FL | NY,KFC,7
company,"K-Corp. Charlotte, Inc.","K-Corp. Charlotte, Inc. / K-Corp. Lee, Inc.",FL,FL,KFC,7
person,Jacquelyn Paris,,FL,FL,McDonald's,7
person,Jose R Hernandez,,FL,FL,McDonald's,7
person,Samuel R Houston,,FL,FL,McDonald's,7
company,"Spring Hill Swamp Dawg, Llc","Blvd Swamp Dawg, Llc / Broad Swamp Dawg, Llc / Cortez Swamp Dawg, Llc / Ridge Road Swamp Dawg, Llc / Spring Hill Swamp Dawg, Llc / Swamp Dawg Ahbh, Llc / Swamp Dawg, Llc",FL,FL,Zaxby's,7
company,"Lee Wesley Restaurants, Llc","Lee Wesley Group, Llc / Lee Wesley Restaurants, Llc",FL,FL | NC | VA,Burger King,6
person,"Machin, Robert",,FL,FL,Domino's,6
person,"Nazari, Hassan",,FL,FL,Domino's,6
company,"Loroam, Inc.",,FLORIDA,FLORIDA,Little Caesars,6
person,Robert J Bateman,,FL,FL,McDonald's,6
person,Steven A Nisbet,Steven A Nisbet / Steven Nisbet,FL,FL,McDonald's,6
person,Brenda L Symons,,FL,FL,McDonald's,6
person,Thomas M Lisante,,FL,FL | GA,McDonald's,6
person,Mark Salebra,,FL,FL,McDonald's,6
person,Joseph A Rodriguez,Jose Rodriguez / Joseph A Rodriguez,FL,FL,McDonald's,6
person,Gregg Oerther,,FL,FL,McDonald's,6
person,Peter J Nowak,,FL,FL,McDonald's,6
company,"Zaxbax Ocala, Llc",,FL,FL,Zaxby's,6
company,"Jackin, Inc.",,FL,FL,Burger King,5
company,"Sun N' Fun Enterprises, Inc.",,FLORIDA,FLORIDA | TENNESSEE | TEXAS,Cinnabon | Jamba,5
person,"Ramia, Jose Y.",,FL,FL,Domino's,5
person,"Mullins, Erin M.",,FL,FL,Domino's,5
company_with_owner,"Collier Fg Holding, Llc (Patrick And Edward Sheridan)",,FL,FL,Five Guys,5
company,"Mitchell Management Of Florida, Inc.",,FL,FL,Jimmy John's,5
company,"Kdab Foods, Llc",,FL,FL,Jimmy John's,5
company,"Sea Titan Enterprises, Llc",,FLORIDA,FLORIDA,Little Caesars,5
person,Shaun Guske,,FL,FL,McDonald's,5
person,Est Jean Mauri Rincon,,FL,FL,McDonald's,5
person,Jared D Lehn,,FL,FL,McDonald's,5
person,Bryan Alex Rodriguez,,FL,FL,McDonald's,5
person,Adam Guske,,FL,FL,McDonald's,5
person,Jesus Rodriguez,,FL,FL,McDonald's,5
person,James M Gilchrist,,FL,FL,McDonald's,5
company,"Jonbro, Inc.",,FL,FL,Pizza Hut,5
company,"The Jasz Group Ii, Inc.","Callahan Jasz, Inc. / Jr Jasz, Inc. / The Jasz Group Ii, Inc. / The Jasz Group, Inc. / Yulee Jasz, Inc.",FL,FL,Zaxby's,5
company,"Zaxbax Suncoast, Llc",,FL,FL,Zaxby's,5
