entity_type,entity_name,name_variants,primary_state,all_states,brands_operated,total_units
person,Henry Charles O'Reilly,,TX,TX,McDonald's,17
person,Anand Kumar,,TX,OK | TX,McDonald's,16
company,"Tumbleweed Pizza Partners, L.P.",,TX,TX,Pizza Hut,16
company,"Compass Group, Usa, Inc.","Compass Group Usa, Inc. / Compass Group, Usa, Inc.",TX,FL | IN | MO | NC | TX | VA,Bojangles | Buffalo Wild Wings | Jimmy John's | KFC | Pizza Hut,15
company,Thericheson 3 Group Llc,Thericheson 3 Group Llc / Thericheson Group Llc,TX,TX,Dairy Queen,15
person,"Dain, Katherine Frances",,TX,TX,Domino's,15
person,"Brown, Randy L.","Brown, Randy / Brown, Randy L.",TX,TX,Domino's,15
company,"Jj Austin, Llc",,TX,TX,Jimmy John's,15
person,Osman Dana,,TX,TX,McDonald's,15
person,Samuel W Munroe,,TX,TX,McDonald's,15
person,Gene Camarena,,TX,NM | TX,Pizza Hut,15
company,"Apple Houston Restaurants, Inc",,TX,TX,Applebee's,14
company,"Travis County Investments, Lp",,TX,TX,Burger King,14
person,"Mayfield, Robert U",,TX,TX,Dairy Queen,14
company,Forster & Giles Investments,,TX,TX,Dairy Queen,14
person,David E Floyd,,TX,TX,McDonald's,14
person,Craig York,,TX,TX,McDonald's,14
company,"Kolkhorst Foods, Llc",,TX,TX,Burger King,13
company,Lone Star Restaurants Llc,,TX,TX,Burger King,13
company,"Campiza Foods Of West Texas, Inc.","Campiza Foods Of West Texas, Inc. / Campiza Foods, Inc. / West Texas Foods, Llc",TX,TX,KFC | Pizza Hut,13
person,Sam Kantar,,TX,TX,McDonald's,13
person,Tyrous Ingram,,TX,TX,McDonald's,13
person,Sarem Soudagar,,TX,TX,McDonald's,13
company,"Lone Star Apple, Llc",,TX,NM | TX,Applebee's,12
company,Brady'S Dairy Queen Inc,,TX,NM | TX,Dairy Queen,12
company,Z & G Enterprises Llc,,TX,TX,Dairy Queen,12
person,"Schweitzer, Michael H.",,TX,KS | TX,Domino's,12
person,Alfredo Del Barrio,,TX,TX,McDonald's,12
person,Daniel H Massey,,TX,TX,McDonald's,12
person,David B Glaser,,TX,TX,McDonald's,12
person,David Gutierrez,,TX,TX,McDonald's,12
company,"Aramark Educational Services, Llc",,TX,AL | AR | CO | MS | TN | TX | VA,Pizza Hut,12
company,Usher & Lay Company Ii Llc,Usher & Lay Company Ii Llc / Usher & Lay Company Llc,TX,TX,Dairy Queen,11
person,"West, Jimmy D / West, Suellen J","West, Jimmy D / West, Jimmy D / West, Suellen J",TX,TX,Dairy Queen,11
person,"Li, Heng",,TX,TX,Domino's,11
company_with_owner,"The Houston Guys, Llc (John Hooff And Eugene Hooff)","The Houston Guys Llc (John Hooff And Eugene Hooff) / The Houston Guys, Llc (John Hooff And Eugene Hooff)",TX,TX,Five Guys,11
person,Michael K Vanecek,,TX,TX,McDonald's,11
person,Edward L Lutito,,TX,TX,McDonald's,11
person,Jordan Ellis,,TX,TX,McDonald's,11
person,Vera Ingram,,TX,TX,McDonald's,11
company,"Famous Chicken Of El Paso, L.L.C.",,TX,TX,Popeyes,11
company,"Albert Restaurant Group, Llc",,TEXAS,TEXAS,Cinnabon,10
company,Jrdq Llc,,TX,TX,Dairy Queen,10
company,Golden Triangle Dairy Queens Inc,,TX,TX,Dairy Queen,10
company,Crema Dulce Inc,Crema Dulce Inc / Dulce Inc,TX,TX,Dairy Queen,10
person,"See, Kevin P.",,TX,TX,Domino's,10
person,"Luttrell, Christopher Scott",,TX,TX,Domino's,10
person,Matthew Kades,,TX,TX,McDonald's,10
person,Jeanie T Smith,,TX,TX,McDonald's,10
person,Danielle M Marasco,,TX,TX,McDonald's,10
company,Northwest Petroleum. Lp,,TX,TX,Pizza Hut,10
company,Jprieto Hospitality Llc,,TEXAS,TEXAS,Cinnabon,9
company,"Rmls Hop Texas, L.L.C.",,TX,TX,IHOP,9
company,"Blue Rock Holdings, Llc","Blue Rock 1117, Llc / Blue Rock 1422, Llc / Blue Rock 2624, Llc / Blue Rock 2758 Llc / Blue Rock 2759 Llc / Blue Rock 3398 Llc / Blue Rock 3905, Llc / Blue Rock 824, Llc / Blue Rock Holdings, Llc",TX,TX,Jimmy John's,9
person,Russell W Ellis,,TX,TX,McDonald's,9
person,Luis R Hernandez,,TX,TX,McDonald's,9
person,Ignacio De Leon,,TX,TX,McDonald's,9
person,Lori Blanton,,TX,TX,McDonald's,9
person,Luis Antonio A Acosta,,TX,TX,McDonald's,9
company,Vega North Enterprises Llc,,TEXAS,TEXAS,Cinnabon,8
person,"Mayfield, Nathaniel L / Mayfield, Virginia K",,TX,TX,Dairy Queen,8
person,"Burnham, Mason",,TX,TX,Domino's,8
person,"Montemayor, Oscar",,TX,TX,Domino's,8
person,"Benevente, Thomas R.","Benevente, Thomas / Benevente, Thomas R.",TX,TX,Domino's,8
company,"Brumfield Enterprises Weatherford, Llc","Brumfield Enterprises Abilene Llc / Brumfield Enterprises Azle Llc / Brumfield Enterprises Harlingen, Llc / Brumfield Enterprises San Angelo, Llc / Brumfield Enterprises Weatherford, Llc / Brumfield Enterprises, Inc",TX,TX,Jimmy John's,8
company,Prosper Independent School District,,TX,TX,Jimmy John's | Pizza Hut,8
person,Dale R Raabe,,TX,TX,McDonald's,8
person,Anthony E Grissett,,TX,TX,McDonald's,8
person,Joy D Frank-Silmon,,TX,TX,McDonald's,8
person,Jamie C Straza,,TX,TX,McDonald's,8
person,Veronica Ruano,,TX,TX,McDonald's,8
person,Mariselle Quijano,,TX,TX,McDonald's,8
person,Frank N Mendoza,Frank Mendoza / Frank N Mendoza,TX,TX,McDonald's,8
person,Lynette Conlan,,TX,TX,McDonald's,8
person,Kevin J Moore,,TX,TX,McDonald's,8
company,"Progressive Pizza Partners, L.P.",,TX,TX,Pizza Hut,8
company,Cf Treats Sunset Llc,Cf Treats #1 Llc / Cf Treats #3 Llc / Cf Treats Sunset Llc,TX,TX,Dairy Queen,7
company,Ole Dq Inc,,TX,TX,Dairy Queen,7
company,Rahwd Enterprises Llc,,TX,TX,Dairy Queen,7
company,"Bona Tc 5696, Inc.","Bona 1372, Inc. / Bona 1435, Inc. / Bona 1451, Inc. / Bona 1900, Inc. / Bona Tc 5696, Inc. / Bona Tc 5699, Inc. / Bona, Inc.",TX,TX,IHOP,7
company,Gato Ciego Llc,,TX,TX,Jimmy John's,7
company,Earl & Markus Restaurants Lp,,TX,TX,Jimmy John's,7
company,"Butts Largent Investment Group Ii, Inc.",,TX,TX,Jimmy John's,7
company,"Dwr Foods, Llc","Dwr Foods, Llc / Ewr Foods Llc / Fwr Foods Llc / Iwr Foods Llc / Jwr Foods Llc / Lwr Foods Llc / Wer Foods Llc",TX,TX,KFC,7
company,1361-0003,1361-0003 / 1361-0004 / 1361-0006 / 1361-0007 / 1361-0008 / 1362-0007 / 1617-0006,TEXAS,TEXAS,Little Caesars,7
person,William T Massey,,TX,TX,McDonald's,7
person,Anna E Oquin,,TX,TX,McDonald's,7
person,Clifton C Johnson,,TX,TX,McDonald's,7
person,Robert Wezeman,,TX,TX,McDonald's,7
person,Laurie Glaser-Swift,,TX,TX,McDonald's,7
company,"Texas Chicken, Llc",,TX,TX,Zaxby's,7
company,"Wingsport, Lp",,TX,OK | TX,Buffalo Wild Wings,6
company,Wjcck Inc,,TX,TX,Dairy Queen,6
company,Pratt-Mdq Inc,,TX,TX,Dairy Queen,6
company,Cinco Dq Inc,,TX,TX,Dairy Queen,6
person,"Dennis, Brian K.",,TX,TX,Domino's,6
company_with_owner,"Senovia Foods North, Llc (Albert Carrillo, Jr.)","Albert Carrillo / Senovia Foods North, Llc (Albert Carrillo, Jr.)",TX,TX,Five Guys,6
company,"949 Subs, Llc",,TX,TX,Jimmy John's,6
person,Celia Jairala,,TX,TX,McDonald's,6
person,Thomas S Hardeman,Thomas R Hardeman / Thomas S Hardeman,TX,TX,McDonald's,6
person,Todd J Grafmiller,,TX,TX,McDonald's,6
person,Martin I Washington,,TX,TX,McDonald's,6
person,Jason Kinney,,TX,TX,McDonald's,6
person,Hampton Conlan,,TX,TX,McDonald's,6
person,Elizabeth Jasper,,TX,TX,McDonald's,6
person,Carla J Moore,,TX,TX,McDonald's,6
person,Deanna De La Garza,,TX,TX,McDonald's,6
person,Lisa Dribben,,TX,TX,McDonald's,6
person,Denise Bentham,,TX,TX,McDonald's,6
person,Stephanie Oliver Parrish,,TX,TX,McDonald's,6
company,"Huntsville Ph, Inc.",,TX,TX,Pizza Hut,6
company,"Sps Foods, Llc",,TX,TX,Pizza Hut,6
company,"Damaraya, Lp","Damaraya, Lp / Darayama, Lp / Maradaya, Lp",TX,TX,Applebee's | IHOP,5
company,"Phasenext Hospitality, Llc",,TX,MA | TX,Buffalo Wild Wings | Jimmy John's,5
company,"United Restaurant Holdings, Llc",,TX,TX,Buffalo Wild Wings,5
company,"Aspire 2B Hospitality-Missouri City, Llc","Aspire 2B Hospitality - Bww, Llc / Aspire 2B Hospitality-Gos, Llc / Aspire 2B Hospitality-Missouri City, Llc",TX,TX,Buffalo Wild Wings,5
company,Quality Brand Group Wild Wings Llc,,TX,TX,Buffalo Wild Wings,5
company,"Lotzapan, Llc",,TEXAS,TEXAS,Cinnabon,5
person,"Witherspoon, Richard B",,TX,TX,Dairy Queen,5
person,"Fritts, David A",,TX,TX,Dairy Queen,5
company,Tiffany Dq Company Ltd,,TX,TX,Dairy Queen,5
company,Rivera Food Services Ltd,,TX,TX,Dairy Queen,5
person,"Marshall, Selby Mark",,TX,TX,Domino's,5
person,"Mcbride, Alfred Timothy",,TX,TX,Domino's,5
company,"Mas Amin 1483, Inc.","Mas Amin 1336 Inc / Mas Amin 1409 Inc / Mas Amin 1419, Inc. / Mas Amin 1478, Inc. / Mas Amin 1483, Inc.",TX,TX,IHOP,5
company,"Lorraine Enterprises, L.C.",,TX,TX,IHOP,5
company,"Znub #6, Llc","Znub #2, Llc / Znub #3, Llc / Znub #6, Llc / Znub #7, Llc / Znub #8, Llc",TX,TX,Jimmy John's,5
company,"Notyep, Llc",,TX,TX,KFC,5
company,"Ro Foods, Inc.",,TX,TX,KFC,5
company,"Rayan National Corporation, Inc.","Rayan National Corporation, Inc. / Rayan Re National Corporation / Rayan Rm National Corporation",TX,TX,KFC,5
company,1309-0005,1309-0005 / 1309-0008 / 1309-0009 / 1309-0010 / 1309-0015,TEXAS,TEXAS,Little Caesars,5
company,1458-0004,1458-0004 / 1458-0005 / 1458-0006 / 1458-0007 / 1458-0008,TEXAS,TEXAS,Little Caesars,5
company,1841-0313,1841-0313 / 1841-0314 / 1841-0315 / 1841-0317 / 1841-0331,TEXAS,TEXAS,Little Caesars,5
person,David J Harmon,,TX,TX,McDonald's,5
person,Carrie Perez,,TX,TX,McDonald's,5
person,Jimmy L Ferguson,,TX,TX,McDonald's,5
person,E. Winston Ross,E Winston Ross / E. Winston Ross,TX,TX,McDonald's,5
person,Tanyel Bennett,,TX,TX,McDonald's,5
person,Jennifer Jasper,,TX,TX,McDonald's,5
person,Maria Victoria Acosta,,TX,TX,McDonald's,5
person,Alberto Romero,,TX,TX,McDonald's,5
person,Warren Spann,,TX,TX,McDonald's,5
person,Jonathan C Kelley,,TX,TX,McDonald's,5
person,Kevin Mazzu,,TX,TX,McDonald's,5
person,Gary L Bolen,,TX,TX,McDonald's,5
person,Stuart W Brown,,TX,TX,McDonald's,5
person,Hazel Kay Smith,,TX,TX,McDonald's,5
person,Ruth Robillard,,TX,TX,McDonald's,5
company,"Lvm Foods, Llc",,TX,TX,Pizza Hut,5
company,"Cut-N-Shoot Ph, Inc.",,TX,TX,Pizza Hut,5
